timestamp,username,binary_process
2024-05-04T16:46:20.297842,yhiggins,mspaint.exe
2024-04-28T22:18:17.297842,williammichael,mspaint.exe
2024-04-28T11:00:07.297842,michele50,calc.exe
2024-05-05T19:12:36.297842,michele50,firefox.exe
2024-05-16T20:18:31.297842,yhiggins,mspaint.exe
2024-05-13T20:32:24.297842,colecory,firefox.exe
2024-05-02T13:22:08.297842,williammichael,powershell.exe
2024-05-15T00:34:47.297842,williammichael,powershell.exe
2024-04-19T07:31:34.297842,williammichael,powershell.exe
2024-04-21T09:35:19.297842,yhiggins,mspaint.exe
2024-05-07T05:27:46.297842,yhiggins,mspaint.exe
2024-05-11T16:12:06.297842,williammichael,chrome.exe
2024-04-24T14:37:18.297842,yhiggins,taskmgr.exe
2024-05-15T18:58:14.297842,colecory,powershell.exe
2024-04-18T21:44:03.297842,mary59,mspaint.exe
2024-05-13T01:16:13.297842,gloriacastro,calc.exe
2024-04-24T11:30:39.297842,michele50,powershell.exe
2024-05-15T11:23:23.297842,mary59,firefox.exe
2024-05-08T09:15:17.297842,colecory,taskmgr.exe
2024-04-27T21:00:55.297842,mary59,explorer.exe
2024-05-08T09:16:22.297842,gloriacastro,explorer.exe
2024-05-05T14:16:41.297842,mary59,cmd.exe
2024-04-27T20:27:32.297842,mary59,svchost.exe
2024-04-30T00:59:05.297842,michele50,explorer.exe
2024-05-15T05:12:44.297842,tammy79,chrome.exe
2024-05-10T21:00:54.297842,mary59,explorer.exe
2024-05-08T06:14:13.297842,wagnerduane,mspaint.exe
2024-05-04T20:34:30.297842,richardsondavid,mspaint.exe
2024-05-18T09:12:38.297842,yhiggins,chrome.exe
2024-04-30T18:43:50.297842,colecory,calc.exe
2024-05-01T18:11:40.297842,yhiggins,mspaint.exe
2024-05-11T23:33:01.297842,lisa99,calc.exe
2024-04-27T08:32:23.297842,richardsondavid,explorer.exe
2024-05-01T02:49:40.297842,williammichael,cmd.exe
2024-05-07T03:43:45.297842,yhiggins,explorer.exe
2024-04-27T07:50:36.297842,michele50,mspaint.exe
2024-05-04T15:43:07.297842,michele50,taskmgr.exe
2024-04-19T05:46:44.297842,michele50,cmd.exe
2024-05-12T02:51:50.297842,colecory,taskmgr.exe
2024-05-14T08:01:20.297842,michele50,chrome.exe
2024-04-24T16:14:52.297842,wagnerduane,notepad.exe
2024-04-25T23:14:41.297842,gloriacastro,explorer.exe
2024-05-08T16:20:53.297842,wagnerduane,explorer.exe
2024-05-03T19:55:28.297842,lisa99,svchost.exe
2024-05-10T12:41:25.297842,lisa99,explorer.exe
2024-05-08T15:04:32.297842,lisa99,mspaint.exe
2024-05-08T06:41:04.297842,lisa99,explorer.exe
2024-04-30T23:46:58.297842,williammichael,mspaint.exe
2024-04-29T08:52:45.297842,lisa99,notepad.exe
2024-04-24T09:12:35.297842,michele50,mspaint.exe
2024-04-19T12:22:51.297842,williammichael,firefox.exe
2024-05-09T23:44:06.297842,wagnerduane,explorer.exe
