_bkt,_cd,_indextime,_raw,_serial,_si,_sourcetype,_subsecond,_time,host,index,linecount,source,sourcetype,splunk_server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398066,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Real-time Reader-0"" color=green due_to_stanza=""feature:tailreader"" node_type=feature node_path=splunkd.file_monitor_input.real-time_reader-0",13,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398057,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Large and Archive File Reader-0"" color=green due_to_stanza=""feature:batchreader"" node_type=feature node_path=splunkd.file_monitor_input.large_and_archive_file_reader-0",14,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398048,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Ingestion Latency"" color=green due_to_stanza=""feature:ingestion_latency"" node_type=feature node_path=splunkd.file_monitor_input.ingestion_latency",15,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398030,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Forwarder Ingestion Latency"" color=red indicator=""ingestion_latency_indexer_health"" due_to_threshold_value=1 measured_value=4320 reason=""Indicator 'ingestion_latency_gap_multiplier' exceeded configured value. The observed value is 4320. Message from 762C572D-8828-47DB-A610-A7AEC12CF1E5:192.168.1.38:51677"" node_type=indicator node_path=splunkd.file_monitor_input.forwarder_ingestion_latency.ingestion_latency_indexer_health",16,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398019,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Forwarder Ingestion Latency"" color=red due_to_stanza=""feature:ingestion_latency_reported"" due_to_indicator=""ingestion_latency_indexer_health"" node_type=feature node_path=splunkd.file_monitor_input.forwarder_ingestion_latency",17,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398011,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""File Monitor Input"" color=red due_to_sub_feature=""Forwarder Ingestion Latency"" node_type=category node_path=splunkd.file_monitor_input",18,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398004,1717056202,"05-30-2024 10:03:22.045 +0200 INFO  PeriodicHealthReporter - product=""splunkd"" color=red due_to_sub_feature=""File Monitor Input"" node_type=product node_path=splunkd",19,"['splunk-server', '_internal']",splunkd,.045,2024-05-30T10:03:22.045+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:385880,1717056200,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:20.519 +0200] ""GET //services/server/roles?output_mode=json HTTP/1.0"" 200 798 ""-"" ""Python-httplib2/0.20.4 (gzip)"" - - - 4ms",20,"['splunk-server', '_internal']",splunkd_access,.519,2024-05-30T10:03:20.519+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:382841,1717056200,05-30-2024 10:03:17.479 +0200 INFO  SessionManager [1553 TcpChannelThread] - Splunk token validation completed in 11 ms,21,"['splunk-server', '_internal']",splunkd,.479,2024-05-30T10:03:17.479+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:382831,1717056200,"05-30-2024 10:03:17.479 +0200 INFO  SessionManager [1553 TcpChannelThread] - Successfully validated JWT tokenId: 99945c3d45caf008d88a5b966c1622f4f72f275b038bd258ae34a17fc017f91e, authType: Splunk, IDP: Splunk, type: static, issued to user: admin",22,"['splunk-server', '_internal']",splunkd,.479,2024-05-30T10:03:17.479+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:361587,1717056197,"05-30-2024 10:03:17.472 +0200 INFO  JsonWebToken [1553 TcpChannelThread] - Saving tokenId: 99945c3d45caf008d88a5b966c1622f4f72f275b038bd258ae34a17fc017f91e, authType: Splunk, IDP: Splunk, type: static to KVStore",23,"['splunk-server', '_internal']",splunkd,.472,2024-05-30T10:03:17.472+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:361596,1717056197,"192.168.1.59 - admin [30/May/2024:10:03:17.468 +0200] ""GET /services/apps/local/?count=-1&offset=0 HTTP/1.0"" 200 70317 ""-"" ""splunk-sdk-python/2.0.1"" - - - 16ms",24,"['splunk-server', '_internal']",splunkd_access,.468,2024-05-30T10:03:17.468+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:294732,1717056188,"2024-05-30 10:03:08,016 INFO [ssg_alerts_ttl_modular_input.app] [alerts_ttl_utility] [run] [1526] Successfully performed TTL for collection=alert_recipient_devices with response=({'date': 'Thu, 30 May 2024 08:03:08 GMT', 'expires': 'Thu, 26 Oct 1978 00:00:00 GMT', 'cache-control': 'no-store, no-cache, must-revalidate, max-age=0', 'vary': 'Authorization', 'connection': 'Close', 'x-frame-options': 'SAMEORIGIN', 'server': 'Splunkd', 'status': '200'}, b'')",25,"['splunk-server', '_internal']",secure_gateway_app_internal_log,.016,2024-05-30T10:03:08.016+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunk_secure_gateway_modular_input.log,secure_gateway_app_internal_log,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:303987,1717056189,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:08.012 +0200] ""DELETE //servicesNS/nobody/splunk_secure_gateway/storage/collections/data/alert_recipient_devices?query=%7B%22timestamp%22%3A%20%7B%22%24lt%22%3A%20%221716969788%22%7D%7D HTTP/1.0"" 200 0 ""-"" ""Python-httplib2/0.20.4 (gzip)"" - - - 3ms",26,"['splunk-server', '_internal']",splunkd_access,.012,2024-05-30T10:03:08.012+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:294715,1717056188,"2024-05-30 10:03:08,005 INFO [ssg_alerts_ttl_modular_input.app] [alerts_ttl_utility] [delete_invalid_entries] [1526] Successfully deleted invalid entries for collection=alert_recipient_devices with response=({'date': 'Thu, 30 May 2024 08:03:08 GMT', 'expires': 'Thu, 26 Oct 1978 00:00:00 GMT', 'cache-control': 'no-store, no-cache, must-revalidate, max-age=0', 'vary': 'Authorization', 'connection': 'Close', 'x-frame-options': 'SAMEORIGIN', 'server': 'Splunkd', 'status': '200'}, b'')",27,"['splunk-server', '_internal']",secure_gateway_app_internal_log,.005,2024-05-30T10:03:08.005+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunk_secure_gateway_modular_input.log,secure_gateway_app_internal_log,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:303976,1717056189,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:07.998 +0200] ""DELETE //servicesNS/nobody/splunk_secure_gateway/storage/collections/data/alert_recipient_devices?query=%7B%22timestamp%22%3A%20%7B%22%24gt%22%3A%201717056187%7D%7D HTTP/1.0"" 200 0 ""-"" ""Python-httplib2/0.20.4 (gzip)"" - - - 6ms",28,"['splunk-server', '_internal']",splunkd_access,.998,2024-05-30T10:03:07.998+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:294699,1717056188,"2024-05-30 10:03:07,989 INFO [ssg_alerts_ttl_modular_input.app] [alerts_ttl_utility] [run] [1526] Successfully performed TTL for collection=mobile_alerts with response=({'date': 'Thu, 30 May 2024 08:03:07 GMT', 'expires': 'Thu, 26 Oct 1978 00:00:00 GMT', 'cache-control': 'no-store, no-cache, must-revalidate, max-age=0', 'vary': 'Authorization', 'connection': 'Close', 'x-frame-options': 'SAMEORIGIN', 'server': 'Splunkd', 'status': '200'}, b'')",29,"['splunk-server', '_internal']",secure_gateway_app_internal_log,.989,2024-05-30T10:03:07.989+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunk_secure_gateway_modular_input.log,secure_gateway_app_internal_log,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:303965,1717056189,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:07.985 +0200] ""DELETE //servicesNS/nobody/splunk_secure_gateway/storage/collections/data/mobile_alerts?query=%7B%22notification.created_at%22%3A%20%7B%22%24lt%22%3A%20%221716969787%22%7D%7D HTTP/1.0"" 200 0 ""-"" ""Python-httplib2/0.20.4 (gzip)"" - - - 3ms",30,"['splunk-server', '_internal']",splunkd_access,.985,2024-05-30T10:03:07.985+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:294682,1717056188,"2024-05-30 10:03:07,978 INFO [ssg_alerts_ttl_modular_input.app] [alerts_ttl_utility] [delete_invalid_entries] [1526] Successfully deleted invalid entries for collection=mobile_alerts with response=({'date': 'Thu, 30 May 2024 08:03:07 GMT', 'expires': 'Thu, 26 Oct 1978 00:00:00 GMT', 'cache-control': 'no-store, no-cache, must-revalidate, max-age=0', 'vary': 'Authorization', 'connection': 'Close', 'x-frame-options': 'SAMEORIGIN', 'server': 'Splunkd', 'status': '200'}, b'')",31,"['splunk-server', '_internal']",secure_gateway_app_internal_log,.978,2024-05-30T10:03:07.978+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunk_secure_gateway_modular_input.log,secure_gateway_app_internal_log,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:303954,1717056189,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:07.974 +0200] ""DELETE //servicesNS/nobody/splunk_secure_gateway/storage/collections/data/mobile_alerts?query=%7B%22notification.created_at%22%3A%20%7B%22%24gt%22%3A%201717056187%7D%7D HTTP/1.0"" 200 0 ""-"" ""Python-httplib2/0.20.4 (gzip)"" - - - 2ms",32,"['splunk-server', '_internal']",splunkd_access,.974,2024-05-30T10:03:07.974+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:294676,1717056187,"2024-05-30 10:03:07,962 INFO [ssg_alerts_ttl_modular_input.app] [alerts_ttl_utility] [run] [1526] Running alerts ttl utility",33,"['splunk-server', '_internal']",secure_gateway_app_internal_log,.962,2024-05-30T10:03:07.962+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunk_secure_gateway_modular_input.log,secure_gateway_app_internal_log,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:294663,1717056187,"2024-05-30 10:03:07,961 INFO [ssg_alerts_ttl_modular_input.app] [ssg_alerts_ttl_modular_input] [do_run] [1526] Running Alerts TTL modular input with input={'ssg_alerts_ttl_modular_input://default': {'__app': 'splunk_secure_gateway', 'disabled': '0', 'host': '$decideOnStartup', 'index': 'default', 'interval': '3600', 'python.version': 'python3', 'ttl_days': '1'}}",34,"['splunk-server', '_internal']",secure_gateway_app_internal_log,.961,2024-05-30T10:03:07.961+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunk_secure_gateway_modular_input.log,secure_gateway_app_internal_log,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:303943,1717056189,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:07.955 +0200] ""DELETE //servicesNS/nobody/splunk_secure_gateway/storage/collections/data/user_snoozes?query=%7B%22end_time%22%3A%20%7B%22%24lt%22%3A%201717056187%7D%7D HTTP/1.0"" 200 0 ""-"" ""Python-httplib2/0.20.4 (gzip)"" - - - 5ms",35,"['splunk-server', '_internal']",splunkd_access,.955,2024-05-30T10:03:07.955+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:303932,1717056189,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:07.941 +0200] ""DELETE //servicesNS/nobody/splunk_secure_gateway/storage/collections/data/snoozed_scopes?query=%7B%22end_time%22%3A%20%7B%22%24lt%22%3A%20%221717056187%22%7D%7D HTTP/1.0"" 200 0 ""-"" ""Python-httplib2/0.20.4 (gzip)"" - - - 3ms",36,"['splunk-server', '_internal']",splunkd_access,.941,2024-05-30T10:03:07.941+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:303926,1717056189,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:07.930 +0200] ""GET /services/server/info HTTP/1.1"" 200 6271 ""-"" ""curl"" - - - 1ms",37,"['splunk-server', '_internal']",splunkd_access,.930,2024-05-30T10:03:07.930+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:303917,1717056189,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:07.733 +0200] ""GET //servicesNS/nobody/splunk_secure_gateway/storage/collections/data/instance_config?limit=0&output_mode=json HTTP/1.0"" 200 3 ""-"" ""Python-httplib2/0.20.4 (gzip)"" - - - 3ms",38,"['splunk-server', '_internal']",splunkd_access,.733,2024-05-30T10:03:07.733+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:303909,1717056189,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:07.723 +0200] ""GET //services/cluster/config?output_mode=json HTTP/1.0"" 200 2738 ""-"" ""Python-httplib2/0.20.4 (gzip)"" - - - 1ms",39,"['splunk-server', '_internal']",splunkd_access,.723,2024-05-30T10:03:07.723+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:303902,1717056189,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:07.715 +0200] ""GET //services/server/roles?output_mode=json HTTP/1.0"" 200 798 ""-"" ""Python-httplib2/0.20.4 (gzip)"" - - - 0ms",40,"['splunk-server', '_internal']",splunkd_access,.715,2024-05-30T10:03:07.715+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:303999,1717056189,"05-30-2024 10:03:07.635 +0200 INFO  BackgroundJobRestarter [1314 DispatchReaper] - inspect_count=4, restart_count=0",41,"['splunk-server', '_internal']",splunkd,.635,2024-05-30T10:03:07.635+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:300842,1717056188,"05-30-2024 10:03:06.117 +0200 INFO  SavedSplunker - savedsearch_id=""nobody;splunk_monitoring_console;DMC Forwarder - Build Asset Table"", search_type=""scheduled"", search_streaming=0, user=""nobody"", app=""splunk_monitoring_console"", savedsearch_name=""DMC Forwarder - Build Asset Table"", priority=default, status=success, digest_mode=1, durable_cursor=0, scheduled_time=1717056180, window_time=0, dispatch_time=1717056185, run_time=0.263, result_count=2, alert_actions="""", sid=""scheduler__nobody_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD56bc9176164393711_at_1717056180_1"", suppressed=0, action_time_ms=4, thread_id=""AlertNotifierWorker-0"", workload_pool=""""",42,"['splunk-server', '_internal']",scheduler,.117,2024-05-30T10:03:06.117+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/scheduler.log,scheduler,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:300833,1717056188,"05-30-2024 10:03:06.106 +0200 INFO  SavedSplunker - AlertNotifier::notifySearchCompleted: called for sid=scheduler__nobody_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD56bc9176164393711_at_1717056180_1, condition=1",43,"['splunk-server', '_internal']",scheduler,.106,2024-05-30T10:03:06.106+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/scheduler.log,scheduler,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:282421,1717056186,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:06.106 +0200] ""POST /servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20Forwarder%20-%20Build%20Asset%20Table/notify?trigger.condition_state=1 HTTP/1.1"" 200 2009 ""-"" ""Splunk/9.2.1 (Linux 6.8.0-31-generic; arch=x86_64)"" - - - 4ms",44,"['splunk-server', '_internal']",splunkd_access,.106,2024-05-30T10:03:06.106+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:282412,1717056186,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:06.093 +0200] ""POST /services/replication/configuration/lookup-update-notify HTTP/1.1"" 200 0 ""-"" ""Splunk/9.2.1 (Linux 6.8.0-31-generic; arch=x86_64)"" - - - 1ms",45,"['splunk-server', '_internal']",splunkd_access,.093,2024-05-30T10:03:06.093+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:282404,1717056186,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:06.014 +0200] ""GET //services/cluster/config?output_mode=json HTTP/1.0"" 200 2738 ""-"" ""Python-httplib2/0.20.4 (gzip)"" - - - 0ms",46,"['splunk-server', '_internal']",splunkd_access,.014,2024-05-30T10:03:06.014+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:282397,1717056186,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:06.007 +0200] ""GET //services/server/roles?output_mode=json HTTP/1.0"" 200 798 ""-"" ""Python-httplib2/0.20.4 (gzip)"" - - - 0ms",47,"['splunk-server', '_internal']",splunkd_access,.007,2024-05-30T10:03:06.007+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:282380,1717056186,"127.0.0.1 - splunk-system-user [30/May/2024:10:03:05.993 +0200] ""GET /servicesNS/splunk-system-user/splunk_monitoring_console/admin/summarization?actual_only=false&_nop_sid=9c7682f4171077a3_tmp&use_normalized=yes&noProxy=true&nodetails=1&search=summary.normHash%3DNS0662d887f51c5c80%20AND%20eai:acl.app%3Dsplunk_monitoring_console&sort_key=summary.size&sort_dir=desc&sort_mode=num HTTP/1.0"" 200 1736 ""-"" ""Splunkd/9.2.1 (Linux 6.8.0-31-generic; arch=x86_64)"" - - - 2ms",48,"['splunk-server', '_internal']",splunkd_access,.993,2024-05-30T10:03:05.993+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/splunkd_access.log,splunkd_access,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:300810,1717056188,"05-30-2024 10:03:05.967 +0200 INFO  SavedSplunker - savedsearch_id=""nobody;splunk_monitoring_console;DMC Asset - Build Standalone Asset Table"", search_type=""scheduled"", search_streaming=0, user=""nobody"", app=""splunk_monitoring_console"", savedsearch_name=""DMC Asset - Build Standalone Asset Table"", priority=default, status=success, digest_mode=1, durable_cursor=0, scheduled_time=1717056154, window_time=0, dispatch_time=1717056185, run_time=0.179, result_count=4, alert_actions=""populate_lookup"", sid=""scheduler__nobody_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD54740dfff07b17ef1_at_1717056154_0"", suppressed=0, action_time_ms=23, thread_id=""AlertNotifierWorker-0"", workload_pool=""""",49,"['splunk-server', '_internal']",scheduler,.967,2024-05-30T10:03:05.967+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/scheduler.log,scheduler,splunk-server
